39.9 fps, rendering interval: 25.1ms
376.1 fps, rendering interval: 2.7ms
285.3 fps, rendering interval: 3.5ms
166.5 fps, rendering interval: 6.0ms
168.8 fps, rendering interval: 5.9ms
123.7 fps, rendering interval: 8.1ms
149.9 fps, rendering interval: 6.7ms
109.6 fps, rendering interval: 9.1ms
92.4 fps, rendering interval: 10.8ms
109.5 fps, rendering interval: 9.1ms
105.2 fps, rendering interval: 9.5ms
154.4 fps, rendering interval: 6.5ms
51.9 fps, rendering interval: 19.3ms
24.0 fps, rendering interval: 41.6ms
20.5 fps, rendering interval: 48.8ms
23.9 fps, rendering interval: 41.8ms
47.7 fps, rendering interval: 21.0ms
109.9 fps, rendering interval: 9.1ms
43.6 fps, rendering interval: 23.0ms
23.2 fps, rendering interval: 43.2ms
119.0 fps, rendering interval: 8.4ms
67.1 fps, rendering interval: 14.9ms
24.5 fps, rendering interval: 40.8ms
182.0 fps, rendering interval: 5.5ms
84.6 fps, rendering interval: 11.8ms
29.8 fps, rendering interval: 33.6ms
29.1 fps, rendering interval: 34.3ms
85.9 fps, rendering interval: 11.6ms
248.5 fps, rendering interval: 4.0ms
298.6 fps, rendering interval: 3.3ms
298.6 fps, rendering interval: 3.3ms
271.8 fps, rendering interval: 3.7ms
338.3 fps, rendering interval: 3.0ms
302.3 fps, rendering interval: 3.3ms
362.7 fps, rendering interval: 2.8ms
324.5 fps, rendering interval: 3.1ms
331.8 fps, rendering interval: 3.0ms
325.4 fps, rendering interval: 3.1ms
325.7 fps, rendering interval: 3.1ms
347.0 fps, rendering interval: 2.9ms
320.3 fps, rendering interval: 3.1ms
302.5 fps, rendering interval: 3.3ms
320.0 fps, rendering interval: 3.1ms
341.9 fps, rendering interval: 2.9ms
340.6 fps, rendering interval: 2.9ms
333.7 fps, rendering interval: 3.0ms
330.6 fps, rendering interval: 3.0ms
336.5 fps, rendering interval: 3.0ms
