28.2 fps, rendering interval: 35.4ms
126.7 fps, rendering interval: 7.9ms
322.7 fps, rendering interval: 3.1ms
418.6 fps, rendering interval: 2.4ms
235.8 fps, rendering interval: 4.2ms
88.3 fps, rendering interval: 11.3ms
57.8 fps, rendering interval: 17.3ms
138.8 fps, rendering interval: 7.2ms
78.4 fps, rendering interval: 12.8ms
26.1 fps, rendering interval: 38.3ms
66.1 fps, rendering interval: 15.1ms
68.3 fps, rendering interval: 14.6ms
18.7 fps, rendering interval: 53.4ms
71.8 fps, rendering interval: 13.9ms
94.0 fps, rendering interval: 10.6ms
30.4 fps, rendering interval: 32.9ms
23.6 fps, rendering interval: 42.4ms
63.1 fps, rendering interval: 15.9ms
95.8 fps, rendering interval: 10.4ms
22.9 fps, rendering interval: 43.7ms
53.0 fps, rendering interval: 18.9ms
118.8 fps, rendering interval: 8.4ms
40.4 fps, rendering interval: 24.8ms
29.6 fps, rendering interval: 33.8ms
110.8 fps, rendering interval: 9.0ms
28.8 fps, rendering interval: 34.7ms
81.0 fps, rendering interval: 12.3ms
97.9 fps, rendering interval: 10.2ms
42.3 fps, rendering interval: 23.7ms
31.2 fps, rendering interval: 32.0ms
38.8 fps, rendering interval: 25.7ms
104.9 fps, rendering interval: 9.5ms
40.5 fps, rendering interval: 24.7ms
20.5 fps, rendering interval: 48.9ms
117.9 fps, rendering interval: 8.5ms
92.3 fps, rendering interval: 10.8ms
36.5 fps, rendering interval: 27.4ms
16.7 fps, rendering interval: 59.7ms
71.8 fps, rendering interval: 13.9ms
92.9 fps, rendering interval: 10.8ms
21.6 fps, rendering interval: 46.4ms
72.6 fps, rendering interval: 13.8ms
