182.9 fps, rendering interval: 5.5ms
81.1 fps, rendering interval: 12.3ms
257.0 fps, rendering interval: 3.9ms
403.7 fps, rendering interval: 2.5ms
398.7 fps, rendering interval: 2.5ms
418.6 fps, rendering interval: 2.4ms
410.0 fps, rendering interval: 2.4ms
401.9 fps, rendering interval: 2.5ms
419.0 fps, rendering interval: 2.4ms
412.2 fps, rendering interval: 2.4ms
424.6 fps, rendering interval: 2.4ms
413.0 fps, rendering interval: 2.4ms
421.7 fps, rendering interval: 2.4ms
422.9 fps, rendering interval: 2.4ms
413.8 fps, rendering interval: 2.4ms
428.7 fps, rendering interval: 2.3ms
416.1 fps, rendering interval: 2.4ms
430.6 fps, rendering interval: 2.3ms
402.8 fps, rendering interval: 2.5ms
408.4 fps, rendering interval: 2.4ms
425.6 fps, rendering interval: 2.3ms
412.6 fps, rendering interval: 2.4ms
425.3 fps, rendering interval: 2.4ms
362.4 fps, rendering interval: 2.8ms
371.7 fps, rendering interval: 2.7ms
335.9 fps, rendering interval: 3.0ms
404.6 fps, rendering interval: 2.5ms
397.4 fps, rendering interval: 2.5ms
383.6 fps, rendering interval: 2.6ms
394.7 fps, rendering interval: 2.5ms
396.0 fps, rendering interval: 2.5ms
408.3 fps, rendering interval: 2.4ms
392.7 fps, rendering interval: 2.5ms
383.7 fps, rendering interval: 2.6ms
400.7 fps, rendering interval: 2.5ms
399.0 fps, rendering interval: 2.5ms
415.0 fps, rendering interval: 2.4ms
404.1 fps, rendering interval: 2.5ms
411.8 fps, rendering interval: 2.4ms
401.1 fps, rendering interval: 2.5ms
416.8 fps, rendering interval: 2.4ms
406.5 fps, rendering interval: 2.5ms
415.0 fps, rendering interval: 2.4ms
413.4 fps, rendering interval: 2.4ms
387.5 fps, rendering interval: 2.6ms
